,Year,Location Description,Topic Description,Response,Data Value,Low Confidence Limit,High Confidence Limit,Sample Size,Gender,Legislation Percentage
21,2018,Alaska,Cigarette Use (Adults),Some Days,28.9,23.2,34.6,464,Overall,82.2
22,2018,Alaska,Cigarette Use (Adults),Some Days,32.6,24.7,40.5,257,Male,82.2
23,2018,Alaska,Cigarette Use (Adults),Some Days,24.1,16.2,32.0,207,Female,82.2
24,2017,Alaska,Cigarette Use (Adults),Every Day,69.1,62.3,75.9,538,Overall,82.2
25,2017,Alaska,Cigarette Use (Adults),Every Day,73.9,66.2,81.6,300,Male,82.2
26,2017,Alaska,Cigarette Use (Adults),Every Day,61.4,49.8,73.0,238,Female,82.2
27,2017,Alaska,Cigarette Use (Adults),Some Days,30.9,24.1,37.7,538,Overall,82.2
28,2017,Alaska,Cigarette Use (Adults),Some Days,26.1,18.4,33.8,300,Male,82.2
29,2017,Alaska,Cigarette Use (Adults),Some Days,38.6,27.0,50.2,238,Female,82.2
30,2016,Alaska,Cigarette Use (Adults),Every Day,64.4,57.8,71.0,523,Overall,82.2
31,2016,Alaska,Cigarette Use (Adults),Every Day,66.9,58.6,75.2,276,Male,82.2
32,2016,Alaska,Cigarette Use (Adults),Every Day,61.0,50.4,71.6,247,Female,82.2
33,2016,Alaska,Cigarette Use (Adults),Some Days,35.6,29.0,42.2,523,Overall,82.2
34,2016,Alaska,Cigarette Use (Adults),Some Days,33.1,24.8,41.4,276,Male,82.2
35,2016,Alaska,Cigarette Use (Adults),Some Days,39.0,28.4,49.6,247,Female,82.2
36,2018,Arizona,Cigarette Use (Adults),Every Day,66.6,61.9,71.3,1055,Overall,80.2
37,2018,Arizona,Cigarette Use (Adults),Every Day,65.4,58.8,72.0,542,Male,80.2
38,2018,Arizona,Cigarette Use (Adults),Every Day,68.1,61.5,74.7,513,Female,80.2
39,2018,Arizona,Cigarette Use (Adults),Some Days,33.4,28.7,38.1,1055,Overall,80.2
40,2018,Arizona,Cigarette Use (Adults),Some Days,34.6,28.0,41.2,542,Male,80.2
41,2018,Arizona,Cigarette Use (Adults),Some Days,31.9,25.3,38.5,513,Female,80.2
42,2017,Arizona,Cigarette Use (Adults),Every Day,65.3,62.5,68.1,1972,Overall,80.2
43,2017,Arizona,Cigarette Use (Adults),Every Day,63.0,59.2,66.8,1012,Male,80.2
44,2017,Arizona,Cigarette Use (Adults),Every Day,68.4,64.5,72.3,960,Female,80.2
45,2017,Arizona,Cigarette Use (Adults),Some Days,34.7,31.9,37.5,1972,Overall,80.2
46,2017,Arizona,Cigarette Use (Adults),Some Days,37.0,33.2,40.8,1012,Male,80.2
47,2017,Arizona,Cigarette Use (Adults),Some Days,31.6,27.7,35.5,960,Female,80.2
48,2016,Arizona,Cigarette Use (Adults),Every Day,64.3,59.9,68.7,1310,Overall,80.2
49,2016,Arizona,Cigarette Use (Adults),Every Day,63.5,57.5,69.5,606,Male,80.2
50,2016,Arizona,Cigarette Use (Adults),Every Day,65.4,59.1,71.7,704,Female,80.2
51,2016,Arizona,Cigarette Use (Adults),Some Days,35.7,31.3,40.1,1310,Overall,80.2
52,2016,Arizona,Cigarette Use (Adults),Some Days,36.5,30.5,42.5,606,Male,80.2
53,2016,Arizona,Cigarette Use (Adults),Some Days,34.6,28.3,40.9,704,Female,80.2
54,2018,Arkansas,Cigarette Use (Adults),Every Day,74.1,70.0,78.2,875,Overall,78.1
55,2018,Arkansas,Cigarette Use (Adults),Every Day,70.5,64.1,76.9,329,Male,78.1
56,2018,Arkansas,Cigarette Use (Adults),Every Day,77.7,72.7,82.7,546,Female,78.1
57,2018,Arkansas,Cigarette Use (Adults),Some Days,25.9,21.8,30.0,875,Overall,78.1
58,2018,Arkansas,Cigarette Use (Adults),Some Days,29.5,23.1,35.9,329,Male,78.1
59,2018,Arkansas,Cigarette Use (Adults),Some Days,22.3,17.3,27.3,546,Female,78.1
60,2017,Arkansas,Cigarette Use (Adults),Every Day,74.9,69.8,80.0,808,Overall,78.1
61,2017,Arkansas,Cigarette Use (Adults),Every Day,71.1,62.9,79.3,303,Male,78.1
62,2017,Arkansas,Cigarette Use (Adults),Every Day,78.7,72.9,84.5,505,Female,78.1
63,2017,Arkansas,Cigarette Use (Adults),Some Days,25.1,20.0,30.2,808,Overall,78.1
64,2017,Arkansas,Cigarette Use (Adults),Some Days,28.9,20.7,37.1,303,Male,78.1
65,2017,Arkansas,Cigarette Use (Adults),Some Days,21.3,15.5,27.1,505,Female,78.1
66,2016,Arkansas,Cigarette Use (Adults),Every Day,71.3,65.9,76.7,854,Overall,78.1
67,2016,Arkansas,Cigarette Use (Adults),Every Day,71.8,64.3,79.3,356,Male,78.1
68,2016,Arkansas,Cigarette Use (Adults),Every Day,70.8,63.2,78.4,498,Female,78.1
69,2016,Arkansas,Cigarette Use (Adults),Some Days,28.7,23.3,34.1,854,Overall,78.1
70,2016,Arkansas,Cigarette Use (Adults),Some Days,28.2,20.7,35.7,356,Male,78.1
71,2016,Arkansas,Cigarette Use (Adults),Some Days,29.2,21.6,36.8,498,Female,78.1
72,2018,California,Cigarette Use (Adults),Every Day,55.9,52.2,59.6,1214,Overall,76.7
73,2018,California,Cigarette Use (Adults),Every Day,56.0,51.4,60.6,779,Male,76.7
74,2018,California,Cigarette Use (Adults),Every Day,55.6,49.4,61.8,435,Female,76.7
75,2018,California,Cigarette Use (Adults),Some Days,44.1,40.4,47.8,1214,Overall,76.7
76,2018,California,Cigarette Use (Adults),Some Days,44.0,39.4,48.6,779,Male,76.7
77,2018,California,Cigarette Use (Adults),Some Days,44.4,38.2,50.6,435,Female,76.7
78,2017,California,Cigarette Use (Adults),Every Day,56.0,51.5,60.5,954,Overall,76.7
79,2017,California,Cigarette Use (Adults),Every Day,55.4,49.8,61.0,582,Male,76.7
80,2017,California,Cigarette Use (Adults),Every Day,57.1,49.4,64.8,372,Female,76.7
81,2017,California,Cigarette Use (Adults),Some Days,44.0,39.5,48.5,954,Overall,76.7
82,2017,California,Cigarette Use (Adults),Some Days,44.6,39.0,50.2,582,Male,76.7
83,2017,California,Cigarette Use (Adults),Some Days,42.9,35.2,50.6,372,Female,76.7
84,2016,California,Cigarette Use (Adults),Every Day,59.5,55.9,63.1,1139,Overall,76.7
85,2016,California,Cigarette Use (Adults),Every Day,57.5,52.9,62.1,667,Male,76.7
86,2016,California,Cigarette Use (Adults),Every Day,62.8,57.2,68.4,472,Female,76.7
87,2016,California,Cigarette Use (Adults),Some Days,40.5,36.9,44.1,1139,Overall,76.7
88,2016,California,Cigarette Use (Adults),Some Days,42.5,37.9,47.1,667,Male,76.7
89,2016,California,Cigarette Use (Adults),Some Days,37.2,31.6,42.8,472,Female,76.7
90,2018,Colorado,Cigarette Use (Adults),Every Day,66.7,63.4,70.0,1050,Overall,81.5
91,2018,Colorado,Cigarette Use (Adults),Every Day,64.3,59.9,68.7,584,Male,81.5
92,2018,Colorado,Cigarette Use (Adults),Every Day,69.8,64.7,74.9,466,Female,81.5
93,2018,Colorado,Cigarette Use (Adults),Some Days,33.3,30.0,36.6,1050,Overall,81.5
94,2018,Colorado,Cigarette Use (Adults),Some Days,35.7,31.3,40.1,584,Male,81.5
95,2018,Colorado,Cigarette Use (Adults),Some Days,30.2,25.1,35.3,466,Female,81.5
96,2017,Colorado,Cigarette Use (Adults),Every Day,66.6,63.2,70.0,1110,Overall,81.5
97,2017,Colorado,Cigarette Use (Adults),Every Day,65.3,60.7,69.9,576,Male,81.5
98,2017,Colorado,Cigarette Use (Adults),Every Day,68.2,63.4,73.0,534,Female,81.5
99,2017,Colorado,Cigarette Use (Adults),Some Days,33.4,30.0,36.8,1110,Overall,81.5
100,2017,Colorado,Cigarette Use (Adults),Some Days,34.7,30.1,39.3,576,Male,81.5
101,2017,Colorado,Cigarette Use (Adults),Some Days,31.8,27.0,36.6,534,Female,81.5
102,2016,Colorado,Cigarette Use (Adults),Every Day,66.3,63.4,69.2,1743,Overall,81.5
103,2016,Colorado,Cigarette Use (Adults),Every Day,67.7,63.8,71.6,897,Male,81.5
104,2016,Colorado,Cigarette Use (Adults),Every Day,64.4,60.0,68.8,846,Female,81.5
105,2016,Colorado,Cigarette Use (Adults),Some Days,33.7,30.8,36.6,1743,Overall,81.5
106,2016,Colorado,Cigarette Use (Adults),Some Days,32.3,28.4,36.2,897,Male,81.5
107,2016,Colorado,Cigarette Use (Adults),Some Days,35.6,31.2,40.0,846,Female,81.5
108,2018,Connecticut,Cigarette Use (Adults),Every Day,66.4,62.4,70.4,1088,Overall,81.3
109,2018,Connecticut,Cigarette Use (Adults),Every Day,65.1,59.4,70.8,536,Male,81.3
110,2018,Connecticut,Cigarette Use (Adults),Every Day,67.9,62.5,73.3,552,Female,81.3
111,2018,Connecticut,Cigarette Use (Adults),Some Days,33.6,29.6,37.6,1088,Overall,81.3
112,2018,Connecticut,Cigarette Use (Adults),Some Days,34.9,29.2,40.6,536,Male,81.3
113,2018,Connecticut,Cigarette Use (Adults),Some Days,32.1,26.7,37.5,552,Female,81.3
114,2017,Connecticut,Cigarette Use (Adults),Every Day,65.6,61.5,69.7,1063,Overall,81.3
115,2017,Connecticut,Cigarette Use (Adults),Every Day,62.7,56.8,68.6,505,Male,81.3
116,2017,Connecticut,Cigarette Use (Adults),Every Day,68.8,63.2,74.4,558,Female,81.3
117,2017,Connecticut,Cigarette Use (Adults),Some Days,34.4,30.3,38.5,1063,Overall,81.3
118,2017,Connecticut,Cigarette Use (Adults),Some Days,37.3,31.4,43.2,505,Male,81.3
119,2017,Connecticut,Cigarette Use (Adults),Some Days,31.2,25.6,36.8,558,Female,81.3
120,2016,Connecticut,Cigarette Use (Adults),Every Day,69.4,65.8,73.0,1150,Overall,81.3
121,2016,Connecticut,Cigarette Use (Adults),Every Day,66.7,61.3,72.1,541,Male,81.3
122,2016,Connecticut,Cigarette Use (Adults),Every Day,72.5,67.9,77.1,609,Female,81.3
123,2016,Connecticut,Cigarette Use (Adults),Some Days,30.6,27.0,34.2,1150,Overall,81.3
124,2016,Connecticut,Cigarette Use (Adults),Some Days,33.3,27.9,38.7,541,Male,81.3
125,2016,Connecticut,Cigarette Use (Adults),Some Days,27.5,22.9,32.1,609,Female,81.3
126,2018,Delaware,Cigarette Use (Adults),Every Day,71.1,66.8,75.4,768,Overall,85.3
127,2018,Delaware,Cigarette Use (Adults),Every Day,70.9,64.9,76.9,387,Male,85.3
128,2018,Delaware,Cigarette Use (Adults),Every Day,71.4,65.2,77.6,381,Female,85.3
129,2018,Delaware,Cigarette Use (Adults),Some Days,28.9,24.6,33.2,768,Overall,85.3
130,2018,Delaware,Cigarette Use (Adults),Some Days,29.1,23.1,35.1,387,Male,85.3
131,2018,Delaware,Cigarette Use (Adults),Some Days,28.6,22.4,34.8,381,Female,85.3
132,2017,Delaware,Cigarette Use (Adults),Every Day,65.8,60.5,71.1,594,Overall,85.3
133,2017,Delaware,Cigarette Use (Adults),Every Day,63.6,56.0,71.2,283,Male,85.3
134,2017,Delaware,Cigarette Use (Adults),Every Day,68.1,60.7,75.5,311,Female,85.3
135,2017,Delaware,Cigarette Use (Adults),Some Days,34.2,28.9,39.5,594,Overall,85.3
136,2017,Delaware,Cigarette Use (Adults),Some Days,36.4,28.8,44.0,283,Male,85.3
137,2017,Delaware,Cigarette Use (Adults),Some Days,31.9,24.5,39.3,311,Female,85.3
138,2016,Delaware,Cigarette Use (Adults),Every Day,70.4,65.6,75.2,646,Overall,85.3
139,2016,Delaware,Cigarette Use (Adults),Every Day,66.2,59.0,73.4,303,Male,85.3
140,2016,Delaware,Cigarette Use (Adults),Every Day,74.9,68.8,81.0,343,Female,85.3
141,2016,Delaware,Cigarette Use (Adults),Some Days,29.6,24.8,34.4,646,Overall,85.3
142,2016,Delaware,Cigarette Use (Adults),Some Days,33.8,26.6,41.0,303,Male,85.3
143,2016,Delaware,Cigarette Use (Adults),Some Days,25.1,19.0,31.2,343,Female,85.3
144,2018,District of Columbia,Cigarette Use (Adults),Every Day,50.3,44.4,56.2,504,Overall,84.9
145,2018,District of Columbia,Cigarette Use (Adults),Every Day,53.7,45.8,61.6,250,Male,84.9
146,2018,District of Columbia,Cigarette Use (Adults),Every Day,46.6,37.9,55.3,254,Female,84.9
147,2018,District of Columbia,Cigarette Use (Adults),Some Days,49.7,43.8,55.6,504,Overall,84.9
148,2018,District of Columbia,Cigarette Use (Adults),Some Days,46.3,38.4,54.2,250,Male,84.9
149,2018,District of Columbia,Cigarette Use (Adults),Some Days,53.4,44.7,62.1,254,Female,84.9
150,2017,District of Columbia,Cigarette Use (Adults),Every Day,56.0,50.4,61.6,557,Overall,84.9
151,2017,District of Columbia,Cigarette Use (Adults),Every Day,55.7,48.0,63.4,281,Male,84.9
152,2017,District of Columbia,Cigarette Use (Adults),Every Day,56.6,48.6,64.6,276,Female,84.9
153,2017,District of Columbia,Cigarette Use (Adults),Some Days,44.0,38.4,49.6,557,Overall,84.9
154,2017,District of Columbia,Cigarette Use (Adults),Some Days,44.3,36.6,52.0,281,Male,84.9
155,2017,District of Columbia,Cigarette Use (Adults),Some Days,43.4,35.4,51.4,276,Female,84.9
156,2016,District of Columbia,Cigarette Use (Adults),Every Day,56.8,51.5,62.1,561,Overall,84.9
157,2016,District of Columbia,Cigarette Use (Adults),Every Day,55.1,47.6,62.6,263,Male,84.9
158,2016,District of Columbia,Cigarette Use (Adults),Every Day,59.0,51.5,66.5,298,Female,84.9
159,2016,District of Columbia,Cigarette Use (Adults),Some Days,43.2,37.9,48.5,561,Overall,84.9
160,2016,District of Columbia,Cigarette Use (Adults),Some Days,44.9,37.4,52.4,263,Male,84.9
161,2016,District of Columbia,Cigarette Use (Adults),Some Days,41.0,33.5,48.5,298,Female,84.9
162,2018,Florida,Cigarette Use (Adults),Every Day,72.3,68.5,76.1,2480,Overall,76.4
163,2018,Florida,Cigarette Use (Adults),Every Day,72.3,66.6,78.0,1214,Male,76.4
164,2018,Florida,Cigarette Use (Adults),Every Day,72.2,67.3,77.1,1266,Female,76.4
165,2018,Florida,Cigarette Use (Adults),Some Days,27.7,23.9,31.5,2480,Overall,76.4
166,2018,Florida,Cigarette Use (Adults),Some Days,27.7,22.0,33.4,1214,Male,76.4
167,2018,Florida,Cigarette Use (Adults),Some Days,27.8,22.9,32.7,1266,Female,76.4
168,2017,Florida,Cigarette Use (Adults),Every Day,67.5,63.6,71.4,3753,Overall,76.4
169,2017,Florida,Cigarette Use (Adults),Every Day,67.3,61.5,73.1,1804,Male,76.4
170,2017,Florida,Cigarette Use (Adults),Every Day,67.8,62.8,72.8,1949,Female,76.4
171,2017,Florida,Cigarette Use (Adults),Some Days,32.5,28.6,36.4,3753,Overall,76.4
172,2017,Florida,Cigarette Use (Adults),Some Days,32.7,26.9,38.5,1804,Male,76.4
173,2017,Florida,Cigarette Use (Adults),Some Days,32.2,27.2,37.2,1949,Female,76.4
174,2016,Florida,Cigarette Use (Adults),Every Day,65.1,62.4,67.8,5473,Overall,76.4
175,2016,Florida,Cigarette Use (Adults),Every Day,63.6,59.8,67.4,2548,Male,76.4
176,2016,Florida,Cigarette Use (Adults),Every Day,67.0,63.3,70.7,2925,Female,76.4
177,2016,Florida,Cigarette Use (Adults),Some Days,34.9,32.2,37.6,5473,Overall,76.4
178,2016,Florida,Cigarette Use (Adults),Some Days,36.4,32.6,40.2,2548,Male,76.4
179,2016,Florida,Cigarette Use (Adults),Some Days,33.0,29.3,36.7,2925,Female,76.4
180,2018,Georgia,Cigarette Use (Adults),Every Day,67.4,64.2,70.6,1259,Overall,75.4
181,2018,Georgia,Cigarette Use (Adults),Every Day,66.4,61.9,70.9,629,Male,75.4
182,2018,Georgia,Cigarette Use (Adults),Every Day,68.6,64.1,73.1,630,Female,75.4
183,2018,Georgia,Cigarette Use (Adults),Some Days,32.6,29.4,35.8,1259,Overall,75.4
184,2018,Georgia,Cigarette Use (Adults),Some Days,33.6,29.1,38.1,629,Male,75.4
185,2018,Georgia,Cigarette Use (Adults),Some Days,31.4,26.9,35.9,630,Female,75.4
186,2017,Georgia,Cigarette Use (Adults),Every Day,65.8,61.8,69.8,853,Overall,75.4
187,2017,Georgia,Cigarette Use (Adults),Every Day,62.8,57.4,68.2,462,Male,75.4
188,2017,Georgia,Cigarette Use (Adults),Every Day,69.8,64.0,75.6,391,Female,75.4
189,2017,Georgia,Cigarette Use (Adults),Some Days,34.2,30.2,38.2,853,Overall,75.4
190,2017,Georgia,Cigarette Use (Adults),Some Days,37.2,31.8,42.6,462,Male,75.4
191,2017,Georgia,Cigarette Use (Adults),Some Days,30.2,24.4,36.0,391,Female,75.4
192,2016,Georgia,Cigarette Use (Adults),Every Day,67.7,63.6,71.8,810,Overall,75.4
193,2016,Georgia,Cigarette Use (Adults),Every Day,67.0,61.2,72.8,387,Male,75.4
194,2016,Georgia,Cigarette Use (Adults),Every Day,68.6,62.9,74.3,423,Female,75.4
195,2016,Georgia,Cigarette Use (Adults),Some Days,32.3,28.2,36.4,810,Overall,75.4
196,2016,Georgia,Cigarette Use (Adults),Some Days,33.0,27.2,38.8,387,Male,75.4
197,2016,Georgia,Cigarette Use (Adults),Some Days,31.4,25.7,37.1,423,Female,75.4
198,2018,Guam,Cigarette Use (Adults),Every Day,69.0,61.0,77.0,303,Overall,
199,2018,Guam,Cigarette Use (Adults),Every Day,75.7,66.8,84.6,172,Male,
200,2018,Guam,Cigarette Use (Adults),Every Day,55.8,42.1,69.5,131,Female,
201,2018,Guam,Cigarette Use (Adults),Some Days,31.0,23.0,39.0,303,Overall,
202,2018,Guam,Cigarette Use (Adults),Some Days,24.3,15.4,33.2,172,Male,
203,2018,Guam,Cigarette Use (Adults),Some Days,44.2,30.5,57.9,131,Female,
204,2017,Guam,Cigarette Use (Adults),Every Day,67.0,60.0,74.0,326,Overall,
205,2017,Guam,Cigarette Use (Adults),Every Day,67.8,58.8,76.8,176,Male,
206,2017,Guam,Cigarette Use (Adults),Every Day,65.9,54.8,77.0,150,Female,
207,2017,Guam,Cigarette Use (Adults),Some Days,33.0,26.0,40.0,326,Overall,
208,2017,Guam,Cigarette Use (Adults),Some Days,32.2,23.2,41.2,176,Male,
209,2017,Guam,Cigarette Use (Adults),Some Days,34.1,23.0,45.2,150,Female,
210,2016,Guam,Cigarette Use (Adults),Every Day,63.3,55.0,71.6,299,Overall,
211,2016,Guam,Cigarette Use (Adults),Every Day,58.4,47.3,69.5,171,Male,
212,2016,Guam,Cigarette Use (Adults),Every Day,73.1,63.4,82.8,128,Female,
213,2016,Guam,Cigarette Use (Adults),Some Days,36.7,28.4,45.0,299,Overall,
214,2016,Guam,Cigarette Use (Adults),Some Days,41.6,30.5,52.7,171,Male,
215,2016,Guam,Cigarette Use (Adults),Some Days,26.9,17.2,36.6,128,Female,
216,2018,Hawaii,Cigarette Use (Adults),Every Day,66.3,62.0,70.6,962,Overall,75.2
217,2018,Hawaii,Cigarette Use (Adults),Every Day,64.6,59.1,70.1,540,Male,75.2
218,2018,Hawaii,Cigarette Use (Adults),Every Day,68.7,61.8,75.6,422,Female,75.2
219,2018,Hawaii,Cigarette Use (Adults),Some Days,33.7,29.4,38.0,962,Overall,75.2
220,2018,Hawaii,Cigarette Use (Adults),Some Days,35.4,29.9,40.9,540,Male,75.2
221,2018,Hawaii,Cigarette Use (Adults),Some Days,31.3,24.4,38.2,422,Female,75.2
222,2017,Hawaii,Cigarette Use (Adults),Every Day,62.5,57.9,67.1,890,Overall,75.2
223,2017,Hawaii,Cigarette Use (Adults),Every Day,60.7,54.8,66.6,498,Male,75.2
224,2017,Hawaii,Cigarette Use (Adults),Every Day,65.7,58.3,73.1,392,Female,75.2
225,2017,Hawaii,Cigarette Use (Adults),Some Days,37.5,32.9,42.1,890,Overall,75.2
226,2017,Hawaii,Cigarette Use (Adults),Some Days,39.3,33.4,45.2,498,Male,75.2
227,2017,Hawaii,Cigarette Use (Adults),Some Days,34.3,26.9,41.7,392,Female,75.2
228,2016,Hawaii,Cigarette Use (Adults),Every Day,68.3,64.1,72.5,934,Overall,75.2
229,2016,Hawaii,Cigarette Use (Adults),Every Day,65.7,59.9,71.5,506,Male,75.2
230,2016,Hawaii,Cigarette Use (Adults),Every Day,71.8,65.8,77.8,428,Female,75.2
231,2016,Hawaii,Cigarette Use (Adults),Some Days,31.7,27.5,35.9,934,Overall,75.2
232,2016,Hawaii,Cigarette Use (Adults),Some Days,34.3,28.5,40.1,506,Male,75.2
233,2016,Hawaii,Cigarette Use (Adults),Some Days,28.2,22.2,34.2,428,Female,75.2
234,2018,Idaho,Cigarette Use (Adults),Every Day,68.2,62.5,73.9,463,Overall,81.1
235,2018,Idaho,Cigarette Use (Adults),Every Day,63.1,55.0,71.2,245,Male,81.1
236,2018,Idaho,Cigarette Use (Adults),Every Day,74.0,66.3,81.7,218,Female,81.1
237,2018,Idaho,Cigarette Use (Adults),Some Days,31.8,26.1,37.5,463,Overall,81.1
238,2018,Idaho,Cigarette Use (Adults),Some Days,36.9,28.8,45.0,245,Male,81.1
239,2018,Idaho,Cigarette Use (Adults),Some Days,26.0,18.3,33.7,218,Female,81.1
240,2017,Idaho,Cigarette Use (Adults),Every Day,72.9,68.2,77.6,575,Overall,81.1
241,2017,Idaho,Cigarette Use (Adults),Every Day,73.3,66.8,79.8,284,Male,81.1
242,2017,Idaho,Cigarette Use (Adults),Every Day,72.4,65.5,79.3,291,Female,81.1
243,2017,Idaho,Cigarette Use (Adults),Some Days,27.1,22.4,31.8,575,Overall,81.1
244,2017,Idaho,Cigarette Use (Adults),Some Days,26.7,20.2,33.2,284,Male,81.1
245,2017,Idaho,Cigarette Use (Adults),Some Days,27.6,20.7,34.5,291,Female,81.1
246,2016,Idaho,Cigarette Use (Adults),Every Day,70.9,65.8,76.0,627,Overall,81.1
247,2016,Idaho,Cigarette Use (Adults),Every Day,67.7,59.9,75.5,268,Male,81.1
248,2016,Idaho,Cigarette Use (Adults),Every Day,74.0,67.7,80.3,359,Female,81.1
249,2016,Idaho,Cigarette Use (Adults),Some Days,29.1,24.0,34.2,627,Overall,81.1
250,2016,Idaho,Cigarette Use (Adults),Some Days,32.3,24.5,40.1,268,Male,81.1
251,2016,Idaho,Cigarette Use (Adults),Some Days,26.0,19.7,32.3,359,Female,81.1
252,2018,Illinois,Cigarette Use (Adults),Every Day,70.1,65.9,74.3,714,Overall,85.9
253,2018,Illinois,Cigarette Use (Adults),Every Day,71.4,66.0,76.8,416,Male,85.9
254,2018,Illinois,Cigarette Use (Adults),Every Day,68.2,61.7,74.7,298,Female,85.9
255,2018,Illinois,Cigarette Use (Adults),Some Days,29.9,25.7,34.1,714,Overall,85.9
256,2018,Illinois,Cigarette Use (Adults),Some Days,28.6,23.2,34.0,416,Male,85.9
257,2018,Illinois,Cigarette Use (Adults),Some Days,31.8,25.3,38.3,298,Female,85.9
258,2017,Illinois,Cigarette Use (Adults),Every Day,67.9,63.6,72.2,693,Overall,85.9
259,2017,Illinois,Cigarette Use (Adults),Every Day,65.1,59.1,71.1,345,Male,85.9
260,2017,Illinois,Cigarette Use (Adults),Every Day,71.3,65.4,77.2,348,Female,85.9
261,2017,Illinois,Cigarette Use (Adults),Some Days,32.1,27.8,36.4,693,Overall,85.9
262,2017,Illinois,Cigarette Use (Adults),Some Days,34.9,28.9,40.9,345,Male,85.9
263,2017,Illinois,Cigarette Use (Adults),Some Days,28.7,22.8,34.6,348,Female,85.9
264,2016,Illinois,Cigarette Use (Adults),Every Day,67.6,63.2,72.0,623,Overall,85.9
265,2016,Illinois,Cigarette Use (Adults),Every Day,64.2,58.1,70.3,342,Male,85.9
266,2016,Illinois,Cigarette Use (Adults),Every Day,72.2,65.8,78.6,281,Female,85.9
267,2016,Illinois,Cigarette Use (Adults),Some Days,32.4,28.0,36.8,623,Overall,85.9
268,2016,Illinois,Cigarette Use (Adults),Some Days,35.8,29.7,41.9,342,Male,85.9
269,2016,Illinois,Cigarette Use (Adults),Some Days,27.8,21.4,34.2,281,Female,85.9
270,2018,Indiana,Cigarette Use (Adults),Every Day,75.6,72.5,78.7,1280,Overall,82.3
271,2018,Indiana,Cigarette Use (Adults),Every Day,77.0,72.8,81.2,608,Male,82.3
272,2018,Indiana,Cigarette Use (Adults),Every Day,73.9,69.5,78.3,672,Female,82.3
273,2018,Indiana,Cigarette Use (Adults),Some Days,24.4,21.3,27.5,1280,Overall,82.3
274,2018,Indiana,Cigarette Use (Adults),Some Days,23.0,18.8,27.2,608,Male,82.3
275,2018,Indiana,Cigarette Use (Adults),Some Days,26.1,21.7,30.5,672,Female,82.3
276,2017,Indiana,Cigarette Use (Adults),Every Day,72.4,70.0,74.8,2310,Overall,82.3
277,2017,Indiana,Cigarette Use (Adults),Every Day,69.8,66.3,73.3,1078,Male,82.3
278,2017,Indiana,Cigarette Use (Adults),Every Day,75.2,71.9,78.5,1232,Female,82.3
279,2017,Indiana,Cigarette Use (Adults),Some Days,27.6,25.2,30.0,2310,Overall,82.3
280,2017,Indiana,Cigarette Use (Adults),Some Days,30.2,26.7,33.7,1078,Male,82.3
281,2017,Indiana,Cigarette Use (Adults),Some Days,24.8,21.5,28.1,1232,Female,82.3
282,2016,Indiana,Cigarette Use (Adults),Every Day,73.1,70.3,75.9,1822,Overall,82.3
283,2016,Indiana,Cigarette Use (Adults),Every Day,74.3,70.2,78.4,824,Male,82.3
284,2016,Indiana,Cigarette Use (Adults),Every Day,71.6,67.7,75.5,998,Female,82.3
285,2016,Indiana,Cigarette Use (Adults),Some Days,26.9,24.1,29.7,1822,Overall,82.3
286,2016,Indiana,Cigarette Use (Adults),Some Days,25.7,21.6,29.8,824,Male,82.3
