,Year,Location Description,Data Source,Topic Description,Measure Description,Response,Data Value,Low Confidence Limit,High Confidence Limit,Sample Size,Gender,legislation percentage
30,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,72.9,67.8,78.0,639,Overall,90.9
31,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.7,64.7,78.7,324,Male,90.9
32,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.3,67.0,81.6,315,Female,90.9
33,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,27.1,22.0,32.2,639,Overall,90.9
34,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.3,21.3,35.3,324,Male,90.9
35,2015,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.7,18.4,33.0,315,Female,90.9
36,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.7,63.1,72.3,749,Overall,90.9
37,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.5,61.1,73.9,364,Male,90.9
38,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.9,61.3,74.5,385,Female,90.9
39,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.3,27.7,36.9,749,Overall,90.9
40,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.5,26.1,38.9,364,Male,90.9
41,2014,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.1,25.5,38.7,385,Female,90.9
42,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,69.3,65.0,73.6,923,Overall,90.9
43,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.1,62.1,74.1,447,Male,90.9
44,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.5,64.3,76.7,476,Female,90.9
45,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,30.7,26.4,35.0,923,Overall,90.9
46,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.9,25.9,37.9,447,Male,90.9
47,2013,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.5,23.3,35.7,476,Female,90.9
48,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.3,59.9,68.7,1310,Overall,91.3
49,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,63.5,57.5,69.5,606,Male,91.3
50,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.4,59.1,71.7,704,Female,91.3
51,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.7,31.3,40.1,1310,Overall,91.3
52,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,36.5,30.5,42.5,606,Male,91.3
53,2016,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.6,28.3,40.9,704,Female,91.3
54,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.4,60.8,70.0,889,Overall,91.3
55,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,61.1,54.4,67.8,400,Male,91.3
56,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.1,65.3,76.9,489,Female,91.3
57,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.6,30.0,39.2,889,Overall,91.3
58,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,38.9,32.2,45.6,400,Male,91.3
59,2015,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.9,23.1,34.7,489,Female,91.3
60,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,63.5,70.7,1811,Overall,91.3
61,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.7,61.5,71.9,789,Male,91.3
62,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.5,62.8,72.2,1022,Female,91.3
63,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,29.3,36.5,1811,Overall,91.3
64,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.3,28.1,38.5,789,Male,91.3
65,2014,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.5,27.8,37.2,1022,Female,91.3
66,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,61.4,73.8,622,Overall,91.3
67,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.3,56.1,74.5,287,Male,91.3
68,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.9,63.4,78.4,335,Female,91.3
69,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,26.2,38.6,622,Overall,91.3
70,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.7,25.5,43.9,287,Male,91.3
71,2013,Arizona,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.1,21.6,36.6,335,Female,91.3
72,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.3,65.9,76.7,854,Overall,81.2
73,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.8,64.3,79.3,356,Male,81.2
74,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.8,63.2,78.4,498,Female,81.2
75,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.7,23.3,34.1,854,Overall,81.2
76,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.2,20.7,35.7,356,Male,81.2
77,2016,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.2,21.6,36.8,498,Female,81.2
78,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.1,64.9,75.3,846,Overall,81.2
79,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,59.4,74.8,338,Male,81.2
80,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,73.7,67.3,80.1,508,Female,81.2
81,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.9,24.7,35.1,846,Overall,81.2
82,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,25.2,40.6,338,Male,81.2
83,2015,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,26.3,19.9,32.7,508,Female,81.2
84,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.5,67.2,75.8,917,Overall,81.2
85,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.8,59.0,72.6,362,Male,81.2
86,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,77.5,72.5,82.5,555,Female,81.2
87,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.5,24.2,32.8,917,Overall,81.2
88,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.2,27.4,41.0,362,Male,81.2
89,2014,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,22.5,17.5,27.5,555,Female,81.2
90,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,75.0,71.3,78.7,1005,Overall,81.2
91,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,75.2,69.6,80.8,410,Male,81.2
92,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.8,70.0,79.6,595,Female,81.2
93,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.0,21.3,28.7,1005,Overall,81.2
94,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,24.8,19.2,30.4,410,Male,81.2
95,2013,Arkansas,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.2,20.4,30.0,595,Female,81.2
96,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,59.5,55.9,63.1,1139,Overall,92.1
97,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,57.5,52.9,62.1,667,Male,92.1
98,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,62.8,57.2,68.4,472,Female,92.1
99,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,40.5,36.9,44.1,1139,Overall,92.1
100,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,42.5,37.9,47.1,667,Male,92.1
101,2016,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,37.2,31.6,42.8,472,Female,92.1
102,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,61.8,58.5,65.1,1295,Overall,92.1
103,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,62.4,58.1,66.7,779,Male,92.1
104,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,60.8,55.5,66.1,516,Female,92.1
105,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,38.2,34.9,41.5,1295,Overall,92.1
106,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,37.6,33.3,41.9,779,Male,92.1
107,2015,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,39.2,33.9,44.5,516,Female,92.1
108,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,59.8,55.8,63.8,962,Overall,92.1
109,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,57.0,51.8,62.2,567,Male,92.1
110,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.7,58.7,70.7,395,Female,92.1
111,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,40.2,36.2,44.2,962,Overall,92.1
112,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,43.0,37.8,48.2,567,Male,92.1
113,2014,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.3,29.3,41.3,395,Female,92.1
114,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,63.4,59.8,67.0,1223,Overall,92.1
115,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,61.9,57.2,66.6,679,Male,92.1
116,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.1,60.7,71.5,544,Female,92.1
117,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,36.6,33.0,40.2,1223,Overall,92.1
118,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,38.1,33.4,42.8,679,Male,92.1
119,2013,California,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.9,28.5,39.3,544,Female,92.1
120,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.3,63.4,69.2,1743,Overall,89.3
121,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.7,63.8,71.6,897,Male,89.3
122,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.4,60.0,68.8,846,Female,89.3
123,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.7,30.8,36.6,1743,Overall,89.3
124,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.3,28.4,36.2,897,Male,89.3
125,2016,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.6,31.2,40.0,846,Female,89.3
126,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.9,62.3,69.5,1673,Overall,89.3
127,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.6,59.6,69.6,820,Male,89.3
128,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.4,62.4,72.4,853,Female,89.3
129,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.1,30.5,37.7,1673,Overall,89.3
130,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.4,30.4,40.4,820,Male,89.3
131,2015,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.6,27.6,37.6,853,Female,89.3
132,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.0,64.9,71.1,1586,Overall,89.3
133,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.4,64.2,72.6,746,Male,89.3
134,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,63.1,72.1,840,Female,89.3
135,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.0,28.9,35.1,1586,Overall,89.3
136,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.6,27.4,35.8,746,Male,89.3
137,2014,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,27.9,36.9,840,Female,89.3
138,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,64.8,70.4,1831,Overall,89.3
139,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,63.6,71.6,852,Male,89.3
140,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.5,63.6,71.4,979,Female,89.3
141,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,29.6,35.2,1831,Overall,89.3
142,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,28.4,36.4,852,Male,89.3
143,2013,Colorado,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.5,28.6,36.4,979,Female,89.3
144,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,69.4,65.8,73.0,1150,Overall,86.7
145,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.7,61.3,72.1,541,Male,86.7
146,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,72.5,67.9,77.1,609,Female,86.7
147,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,30.6,27.0,34.2,1150,Overall,86.7
148,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.3,27.9,38.7,541,Male,86.7
149,2016,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,27.5,22.9,32.1,609,Female,86.7
150,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.7,63.0,70.4,1309,Overall,86.7
151,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.6,61.4,71.8,636,Male,86.7
152,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,61.9,71.9,673,Female,86.7
153,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.3,29.6,37.0,1309,Overall,86.7
154,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.4,28.2,38.6,636,Male,86.7
155,2015,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,28.1,38.1,673,Female,86.7
156,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.2,62.1,70.3,897,Overall,86.7
157,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.2,58.3,70.1,434,Male,86.7
158,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,63.0,74.2,463,Female,86.7
159,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.8,29.7,37.9,897,Overall,86.7
160,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.8,29.9,41.7,434,Male,86.7
161,2014,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,25.8,37.0,463,Female,86.7
162,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.0,60.9,69.1,1058,Overall,86.7
163,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,63.3,57.4,69.2,477,Male,86.7
164,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,61.1,72.7,581,Female,86.7
165,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.0,30.9,39.1,1058,Overall,86.7
166,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,36.7,30.8,42.6,477,Male,86.7
167,2013,Connecticut,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,27.3,38.9,581,Female,86.7
168,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.4,65.6,75.2,646,Overall,84.0
169,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.2,59.0,73.4,303,Male,84.0
170,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.9,68.8,81.0,343,Female,84.0
171,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.6,24.8,34.4,646,Overall,84.0
172,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.8,26.6,41.0,303,Male,84.0
173,2016,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.1,19.0,31.2,343,Female,84.0
174,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.7,63.5,73.9,612,Overall,84.0
175,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.0,58.8,73.2,303,Male,84.0
176,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,72.2,64.9,79.5,309,Female,84.0
177,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,26.1,36.5,612,Overall,84.0
178,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,34.0,26.8,41.2,303,Male,84.0
179,2015,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,27.8,20.5,35.1,309,Female,84.0
180,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.0,69.3,78.7,655,Overall,84.0
181,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.1,67.0,81.2,287,Male,84.0
182,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,73.8,67.9,79.7,368,Female,84.0
183,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,26.0,21.3,30.7,655,Overall,84.0
184,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.9,18.8,33.0,287,Male,84.0
185,2014,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,26.2,20.3,32.1,368,Female,84.0
186,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.7,64.2,73.2,842,Overall,84.0
187,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,69.3,63.1,75.5,376,Male,84.0
188,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.1,61.6,74.6,466,Female,84.0
189,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,26.8,35.8,842,Overall,84.0
190,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,30.7,24.5,36.9,376,Male,84.0
191,2013,Delaware,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.9,25.4,38.4,466,Female,84.0
192,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,56.8,51.5,62.1,561,Overall,83.3
193,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,55.1,47.6,62.6,263,Male,83.3
194,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,59.0,51.5,66.5,298,Female,83.3
195,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,43.2,37.9,48.5,561,Overall,83.3
196,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,44.9,37.4,52.4,263,Male,83.3
197,2016,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,41.0,33.5,48.5,298,Female,83.3
198,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,54.2,45.8,62.6,488,Overall,83.3
199,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,50.7,38.5,62.9,204,Male,83.3
200,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,57.4,45.8,69.0,284,Female,83.3
201,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,45.8,37.4,54.2,488,Overall,83.3
202,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,49.3,37.1,61.5,204,Male,83.3
203,2015,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,42.6,31.0,54.2,284,Female,83.3
204,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,61.3,54.1,68.5,484,Overall,83.3
205,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,59.6,49.9,69.3,215,Male,83.3
206,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,63.2,52.6,73.8,269,Female,83.3
207,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,38.7,31.5,45.9,484,Overall,83.3
208,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,40.4,30.7,50.1,215,Male,83.3
209,2014,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,36.8,26.2,47.4,269,Female,83.3
210,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,57.2,51.1,63.3,631,Overall,83.3
211,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,59.3,51.0,67.6,289,Male,83.3
212,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,54.2,45.3,63.1,342,Female,83.3
213,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,42.8,36.7,48.9,631,Overall,83.3
214,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,40.7,32.4,49.0,289,Male,83.3
215,2013,District of Columbia,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,45.8,36.9,54.7,342,Female,83.3
216,2016,Florida,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,65.1,62.4,67.8,5473,Overall,88.8
